STATE_ID,ATTACK_LL,ATTACK_LR,ATTACK_RL,ATTACK_RR,SWAP_L2R,SWAP_L1R,SWAP_R1L,SWAP_R2L
24,0.0,1.3836898312702033,0.0,1.3773613498137625,-1.4260738623528761,1.3776541312899488,0.0,0.0
25,0.0,1.3686190360708905,0.0,-1.3844042146856697,0.0,-1.3848028479020955,0.0,0.0
26,0.0,1.3851337961481685,0.0,1.3834177910094587,0.0,0.0,1.3868623485637308,0.0
27,0.0,1.3843948331455562,0.0,1.3844018601585217,0.0,1.3831031712246684,0.0,0.0
28,0.0,1.3820050585805919,0.0,1.3540127184997195,0.0,0.0,0.0,0.0
29,0.0,1.3696873986490425,0.0,1.3994634090699574,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,-1.3810760152354227,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,-1.3864323723063545,0.0,0.0,-1.3806564302537372,0.0
33,0.0,0.0,0.0,1.374317503691675,0.0,0.0,1.379804982045591,0.0
34,0.0,0.0,0.0,1.3426540345892153,0.0,0.0,-1.384815348519607,1.37946289932329
35,0.0,1.3856536117325167,0.0,1.3860243192922914,0.0,1.3854986144659367,0.0,0.0
36,0.0,-1.3899651871421714,0.0,-1.3860817309611757,0.0,-1.3883566011049664,0.0,0.0
37,0.0,-1.3881474856386231,0.0,1.3699800009042267,0.0,-1.3850871904687656,1.380551124769463,0.0
38,0.0,-1.3793496875766575,0.0,1.4047791343624856,0.0,0.0,-1.3713847580675813,0.0
39,0.0,0.0,0.0,0.0,-1.3934130531245006,-1.3828850345328616,0.0,0.0
40,0.0,-1.3676141409369198,0.0,1.3806848662451408,0.0,-1.3733813153476502,0.0,0.0
41,0.0,0.0,0.0,1.3671338884818445,0.0,0.0,1.3849440769575534,0.0
42,0.0,1.3556305789687892,0.0,1.3483465358930231,0.0,-1.368132998440624,0.0,0.0
43,0.0,1.4059515356823709,0.0,1.3632238639405037,0.0,0.0,0.0,0.0
44,0.0,1.3120049926416724,0.0,1.3368843018323113,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,-1.3789087008315857,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.3235649140130232,0.0,0.0,1.3832775905917905,0.0
48,0.0,0.0,0.0,1.3569184116509683,0.0,0.0,-1.382022857855208,0.0
49,0.0,0.0,0.0,1.3847545542683186,0.0,0.0,-1.3856227681191413,1.384470720039906
50,0.0,-1.3808548817132051,0.0,-1.3808637369876882,0.0,-1.3909395103914697,0.0,0.0
51,0.0,-1.3664244230660219,0.0,1.455549822230867,0.0,-1.384854992286496,0.0,0.0
52,0.0,0.0,0.0,1.3496708031345879,0.0,-1.3463976151270136,1.3667244066269697,0.0
53,0.0,-1.3718451224232575,0.0,1.3698882321936314,0.0,0.0,1.3755964133013272,0.0
54,0.0,1.4239586309811887,0.0,1.3865926077468038,-1.3801887058724631,-1.3719924521370146,0.0,0.0
55,0.0,1.4017582511488764,0.0,1.451037038927028,0.0,-1.37529745066288,0.0,0.0
56,0.0,1.3626470866013531,0.0,1.3621515956294854,0.0,0.0,1.3876586227903012,0.0
57,0.0,1.3245106375659956,0.0,1.3573857341553734,0.0,1.3684484597548754,0.0,0.0
58,0.0,1.3909273493140883,0.0,1.3351341568942663,0.0,0.0,0.0,0.0
59,0.0,1.3615403952795304,0.0,1.3590057012307653,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,1.433908593052421,0.0,0.0,0.0,0.0
