STATE_ID,ATTACK_LL,ATTACK_LR,ATTACK_RL,ATTACK_RR,SWAP_L2R,SWAP_L1R,SWAP_R1L,SWAP_R2L
24,0.0,1.3642354735315165,0.0,1.3649413539314323,-1.4379554903283558,1.3802752999475472,0.0,0.0
25,0.0,1.3805977608673603,0.0,-1.3743368697159917,0.0,-1.384149515049463,0.0,0.0
26,0.0,1.3710973511574656,0.0,1.3445429334979957,0.0,0.0,1.376964735888606,0.0
27,0.0,1.3449104580896536,0.0,1.3475238298870902,0.0,1.3599953419513309,0.0,0.0
28,0.0,1.3413650822777812,0.0,1.3481126266918593,0.0,0.0,0.0,0.0
29,0.0,1.3555218706793934,0.0,1.2893257596375207,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,-1.3817270926417398,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,-1.3822177986613529,0.0,0.0,-1.3814001010197168,0.0
33,0.0,0.0,0.0,1.4266824844896075,0.0,0.0,1.381372151633513,0.0
34,0.0,0.0,0.0,1.3671468232939266,0.0,0.0,-1.3661875250065327,1.3815598230407367
35,0.0,1.3837845446990282,0.0,1.383817701238703,0.0,1.3809691586788928,0.0,0.0
36,0.0,-1.3872570541521658,0.0,-1.3815465076148414,0.0,-1.3879056318551841,0.0,0.0
37,0.0,-1.376822416053067,0.0,1.4438696054739444,0.0,-1.388130079329924,1.3709465725345327,0.0
38,0.0,-1.376011613852087,0.0,1.4166867397331806,0.0,0.0,-1.373664616009795,0.0
39,0.0,0.0,0.0,0.0,-1.3900598983492636,-1.3681985544293815,0.0,0.0
40,0.0,-1.3622457134290948,0.0,1.4218547828993409,0.0,-1.3715858207702227,0.0,0.0
41,0.0,0.0,0.0,1.3296095567087494,0.0,0.0,1.3879370565258211,0.0
42,0.0,1.3616403638647996,0.0,1.339057887081849,0.0,-1.3679296176124076,0.0,0.0
43,0.0,1.4206869609726145,0.0,1.3957201137836794,0.0,0.0,0.0,0.0
44,0.0,1.332701184319348,0.0,1.3552151093907394,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,-1.380461255213088,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.34271656015214,0.0,0.0,1.3825778887505795,0.0
48,0.0,0.0,0.0,1.3951015056469047,0.0,0.0,-1.3840771163480627,0.0
49,0.0,0.0,0.0,1.358069387719396,0.0,0.0,-1.3850884660457232,1.3815837447119659
50,0.0,-1.3812165881464564,0.0,-1.3807796844526432,0.0,-1.4010841528562326,0.0,0.0
51,0.0,-1.3772658139228569,0.0,1.4117572966223026,0.0,-1.3852854047553165,0.0,0.0
52,0.0,0.0,0.0,1.3258277219207986,0.0,-1.3077791382975008,1.368916478112923,0.0
53,0.0,-1.3630939117697574,0.0,1.4039840606760938,0.0,0.0,1.385139199154194,0.0
54,0.0,1.4242439333398647,0.0,1.3486864980749749,-1.369454347712595,-1.3718201633881753,0.0,0.0
55,0.0,1.3827838735486526,0.0,1.4490419381635449,0.0,-1.3689439649502113,0.0,0.0
56,0.0,1.3647062099753235,0.0,1.3629785217420298,0.0,0.0,1.3829602463108952,0.0
57,0.0,1.3486984677102098,0.0,1.3493131124738098,0.0,1.3696828523650257,0.0,0.0
58,0.0,1.3962026675460355,0.0,1.3529277358595913,0.0,0.0,0.0,0.0
59,0.0,1.3399483358157565,0.0,1.3835613260086996,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,1.4495634191534392,0.0,0.0,0.0,0.0
