STATE_ID,ATTACK_LL,ATTACK_LR,ATTACK_RL,ATTACK_RR,SWAP_L2R,SWAP_L1R,SWAP_R1L,SWAP_R2L
24,0.0,1.3032822501462231,0.0,1.3022003177543335,-1.3475173515464065,1.3017682783835602,0.0,0.0
25,0.0,1.3033436372076348,0.0,-1.3124228542360123,0.0,-1.3129660571842277,0.0,0.0
26,0.0,1.3015793357022651,0.0,1.23827665330588,0.0,0.0,1.3027146845280593,0.0
27,0.0,1.3020144584354396,0.0,1.3019200899648986,0.0,1.303209501606251,0.0,0.0
28,0.0,1.3031034938004142,0.0,1.2594434949453628,0.0,0.0,0.0,0.0
29,0.0,1.3133823705040946,0.0,1.248396859034583,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,-1.3131872779635285,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,-1.3134674088689378,0.0,0.0,-1.3125340093998805,0.0
33,0.0,0.0,0.0,1.3013203640755187,0.0,0.0,1.3026242722392771,0.0
34,0.0,0.0,0.0,1.1786179003923944,0.0,0.0,-1.3131197004952184,1.3024521636493287
35,0.0,1.3029694968571186,0.0,1.3022191700931347,0.0,1.3014041993321417,0.0,0.0
36,0.0,-1.3133453247352704,0.0,-1.3134617605705794,0.0,-1.3133785716338113,0.0,0.0
37,0.0,-1.3081451606157146,0.0,1.2690186578949463,0.0,-1.277909249212015,1.3022248171106499,0.0
38,0.0,-1.3221968105569222,0.0,1.2945591550845414,0.0,0.0,-1.3128545975532597,0.0
39,0.0,-0.005231076511973783,0.0,-0.0049762033015876015,-1.2972000920399414,-1.3136743337079846,0.0,0.0
40,0.0,-1.3066410135947755,0.0,1.3461394887171585,0.0,-1.3202503262987157,0.0,0.0
41,0.0,-0.005036697281441136,0.0,1.3031252832213114,0.0,0.0,1.3031805306412096,0.0
42,0.0,1.3351469937092657,0.0,1.1483520238791156,0.0,-1.127259494926396,0.0,0.0
43,0.0,1.3022553718545054,0.0,1.1923226587010909,0.0,0.0,0.0,0.0
44,0.0,1.0211754663035322,0.0,1.180483162182179,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,-1.3135540438416697,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.3007161369075255,0.0,0.0,1.3029542874062634,0.0
48,0.0,0.0,0.0,1.3142983874353136,0.0,0.0,-1.3121452046195983,0.0
49,0.0,0.0,0.0,1.2814903750267512,0.0,0.0,-1.3094208292679808,1.3030037806127717
50,0.0,-1.3122220819689905,0.0,-1.313020200819066,0.0,-1.3129684470426426,0.0,0.0
51,0.0,-0.6437781230402898,0.0,1.3879648061515526,0.0,-0.9565714669087203,0.0,0.0
52,0.0,0.0,0.0,1.1886392376591615,0.0,-0.08856221867700001,-0.002009194035626127,0.0
53,0.0,-1.3128961620143265,0.0,1.290795856995899,0.0,0.0,1.302897371560838,0.0
54,0.0,1.3024336846181335,0.0,1.2359181487313553,-1.3058692894954822,-1.3082631822812003,0.0,0.0
55,0.0,0.6349812300000001,0.0,1.2921546820498628,0.0,-0.8110306266408832,0.0,0.0
56,0.0,1.2364016776270965,0.0,1.2075688998303893,0.0,0.0,1.3043367548465894,0.0
57,0.0,1.2140774807726158,0.0,1.1830926059409208,0.0,1.2998322124545503,0.0,0.0
58,0.0,0.7141542833000001,0.0,1.2999682173982987,0.0,0.0,0.0,0.0
59,0.0,1.2317979001841055,0.0,1.2177917475359195,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
